,平台,区域,场地名称,场地主人,联系方式,场地活动类型,场地价格,场地大小,推荐人数,场地位置,服务设施,浏览量,咨询量,场地链接
136,活动行-活动场地,南山区,南山ECO国际会议中心-数字园数字厅,丁亨龙,13927***157,聚会 商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 现场演出 展览 集市 赛事 路演 轰趴 亲子 读书会 年会 其他,"7000元/天 起
包含：LED屏，音控设备，自助笔、纸取用盒，自助冷热水饮水机、共享充电；公共休息区，专用展区，广告机；",120 平米起,120 人,粤海街道高新南七道国家工程实验大楼A座4楼,音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 讲台 舞台 桌椅 电视 LED屏,2,0,http://venue.huodongxing.com/venue/detail/711001399111
137,活动行-活动场地,南山区,南山ECO国际会议中心-科兴阶梯报告厅,丁亨龙,13927***157,聚会 商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 现场演出 展览 集市 赛事 路演 轰趴 亲子 读书会 年会 其他,"32000元/天 起
价格包含：LED屏，音控设备，矿泉水，休息室，自助笔、纸取用盒，自助冷热水饮水机、共享充电；公共休息区，专用展区，广告机；",500 平米起,397 人,科苑路科兴科学园B4栋1楼,银幕 音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 舞台灯 讲台 舞台 桌椅 电视 LED屏,2,0,http://venue.huodongxing.com/venue/detail/251001384235
138,活动行-活动场地,南山区,南山ECO国际会议中心-深圳湾创新厅,丁亨龙,13927***157,聚会 商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 现场演出 展览 集市 赛事 路演 轰趴 亲子 读书会 年会 其他,"10800元/天 起
包含:LED屏，音控设备，休息室，自助笔、纸取用盒，自助冷热水饮水机、共享充电；公共休息区，专用展区，广告机；",200 平米起,200 人,海天一路软件产业基地5B栋4楼,音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 讲台 舞台 桌椅 电视 LED屏,2,0,http://venue.huodongxing.com/venue/detail/581001398993
139,活动行-活动场地,南山区,南山ECO国际会议中心-深圳湾鸿达厅,丁亨龙,13927***157,聚会 商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 现场演出 展览 集市 赛事 路演 轰趴 亲子 读书会 年会 其他,"10800元/天 起
包含:LED屏，音控设备，休息室，自助笔、纸取用盒，自助冷热水饮水机、共享充电；公共休息区，专用展区，广告机；",220 平米起,220 人,海天一路软件产业基地5B栋4楼,音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 讲台 舞台 桌椅 电视 LED屏,2,0,http://venue.huodongxing.com/venue/detail/521001399027
140,活动行-活动场地,南山区,南山ECO国际会议中心-数字园科创厅,丁亨龙,13927***157,聚会 商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 现场演出 展览 集市 赛事 路演 轰趴 亲子 读书会 年会 其他,"7000元/天 起
包含：LED屏，音控设备，自助笔、纸取用盒，自助冷热水饮水机、共享充电；公共休息区，专用展区，广告机；",120 平米起,120 人,粤海街道高新南七道国家工程实验大楼A座4楼,音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 讲台 桌椅 电视 LED屏,2,0,http://venue.huodongxing.com/venue/detail/671001399076
141,活动行-活动场地,南山区,南山ECO国际会议中心-科兴2号厅,丁亨龙,13927***157,聚会 商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 现场演出 展览 集市 赛事 路演 轰趴 亲子 读书会 年会 其他,"10000元/天 起
价格包含：LED屏，音控设备，自助笔、纸取用盒，自助冷热水饮水机、共享充电；公共休息区，专用展区，广告机；",180 平米起,150 人,科苑路科兴科学园B4栋3楼,音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 讲台 舞台 桌椅 电视 LED屏,1,0,http://venue.huodongxing.com/venue/detail/591001384396
142,活动行-活动场地,南山区,南山ECO国际会议中心-科兴3号厅,丁亨龙,13927***157,聚会 商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 现场演出 展览 集市 赛事 路演 轰趴 亲子 读书会 年会 其他,"8000元/天 起
包含：LED屏，音控设备，自助笔、纸取用盒，自助冷热水饮水机、共享充电；公共休息区，专用展区，广告机；",140 平米起,130 人,科苑路科兴科学园B4栋1楼,音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 讲台 舞台 桌椅 电视 LED屏,2,0,http://venue.huodongxing.com/venue/detail/901001394410
143,活动行-活动场地,南山区,南山ECO国际会议中心-数字园万众厅,丁亨龙,13927***157,聚会 商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 现场演出 展览 集市 赛事 路演 轰趴 亲子 读书会 年会 其他,"28000元/天 起
包含：LED屏，音控设备，休息室，自助笔、纸取用盒，自助冷热水饮水机、共享充电；公共休息区，专用展区，广告机；",400 平米起,400 人,粤海街道高新南七道国家工程实验大楼A座4楼,音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 舞台灯 讲台 舞台 桌椅 电视 LED屏,2,0,http://venue.huodongxing.com/venue/detail/101001398921
144,活动行-活动场地,南山区,南山ECO国际会议中心-深圳湾海韵厅,丁亨龙,13927***157,聚会 商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 现场演出 展览 集市 赛事 路演 轰趴 亲子 读书会 年会 其他,"25000元/天 起
包含：LED屏，音控设备，休息室，自助笔、纸取用盒，自助冷热水饮水机、共享充电；公共休息区，专用展区，广告机；",350 平米起,287 人,海天一路软件产业基地5B栋5楼,音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 舞台灯 讲台 舞台 桌椅 电视 LED屏,2,0,http://venue.huodongxing.com/venue/detail/411001394621
145,活动行-活动场地,南山区,南山ECO国际会议中心-深圳湾慧岚厅,丁亨龙,13927***157,聚会 商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 现场演出 展览 集市 赛事 路演 轰趴 亲子 读书会 年会 其他,"23000元/天 起
包含:LED屏，音控设备，休息室，自助笔、纸取用盒，自助冷热水饮水机、共享充电；公共休息区，专用展区，广告机；",300 平米起,259 人,海天一路软件产业基地5B栋5楼,音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 舞台灯 讲台 舞台 桌椅 电视 LED屏,1,0,http://venue.huodongxing.com/venue/detail/281001394640
146,活动行-活动场地,南山区,南山ECO国际会议中心-7+8宴会厅,丁亨龙,13927***157,聚会 商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 现场演出 展览 集市 赛事 路演 轰趴 亲子 读书会 年会 其他,"40000元/天 起
价格包含：LED屏，笔、纸、音响设备、音控、会议签到区、展位区、自助饮水、接待服务、会议指示牌",620 平米起,700 人,粤海街道科苑路科兴科学园B4栋1、3楼,投影设备 银幕 音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 舞台灯 讲台 舞台 桌椅 电视 LED屏,2,0,http://venue.huodongxing.com/venue/detail/451000981892
147,活动行-活动场地,南山区,WeWorkTCL大厦会议室/培训教室,WeWork,18926***286,商务活动 分享会/沙龙 课程 会议/论坛,"1000元/小时 起
具体折扣请咨询工作人员",75 平米起,60 人,高新南一道6号TCL大厦9层WeWork,投影设备 音响 麦克风 WIFI 茶歇 停车场 黑白板 讲台 桌椅,9,0,http://venue.huodongxing.com/venue/detail/161000482906
148,活动行-活动场地,南山区,IDG亚洲体育产业育成中心,郑文易,15712***253,商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 现场演出 展览 集市 赛事 路演 读书会 年会 其他,"9000元/1天 起
报价已含：场地使用、LED、音响、灯光及桌椅等设施设备使用；茶歇、自助餐及住宿可单独询价。",400 平米起,200 人,科园路1001号深圳市软件产业基地4A栋一层,,15,1,http://venue.huodongxing.com/venue/detail/120999055365
149,活动行-活动场地,南山区,中国厅,Riyi马,18823***872,分享会/沙龙,"500元/小时 起
仅限周末或节假日使用",120 平米起,50 人,深铁金融科技大厦,投影设备 银幕 音响 麦克风 停车场 讲台 桌椅 电视 LED屏,5,0,http://venue.huodongxing.com/venue/detail/420998802170
150,活动行-活动场地,南山区,华侨城创意园康佳之星K-Park,林佳,18320***824,商务活动 分享会/沙龙 发布会 课程 会议/论坛 路演,"120元/天 起
双创类活动不收费",60 平米起,100 人,康佳之星K-park,投影设备 银幕 音响 麦克风 WIFI 茶歇 停车场 讲台 桌椅,8,0,http://venue.huodongxing.com/venue/detail/720997119657
151,活动行-活动场地,南山区,深圳蛇口网谷双创街联合办公,吴雪梅,15918***383,商务活动 分享会/沙龙 课程 会议/论坛 展览 路演 读书会,"1000元/天 起
场地由5人洽谈区、10人会议室、30人阶梯课室、40人路演咖啡厅，外场可容纳不同需求的活动场景，根据不同时间需求，设置不同门槛收费，低至100块每小时。入驻后，所有资源都可以免费享用，欢迎有活动场地需求和办公需求的来聊。",100 平米起,50 人,蛇口网谷双创街,投影设备 银幕 音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 讲台 桌椅 电视 LED屏,34,6,http://venue.huodongxing.com/venue/detail/530995402693
152,活动行-活动场地,南山区,芳菲健康-团操室,白生,15839***029,其他,200元/小时 起,60 平米起,20 人,深圳南山区后海大道鼎元宏易中心2楼,投影设备 银幕 音响 麦克风 WIFI 停车场 黑白板 桌椅,2,0,http://venue.huodongxing.com/venue/detail/320991601269
153,活动行-活动场地,南山区,天穹剧场,赵经理,13811***064,商务活动 分享会/沙龙 发布会 课程 会议/论坛 现场演出 赛事 路演 读书会 年会 其他,"28000元/天 起
包含场内现有声光电设备及巨型LED屏幕、舞台、座位等设施",1000 平米起,350 人,TCL国际E城G5栋4楼,银幕 音响 麦克风 WIFI 停车场 舞台灯 讲台 舞台 桌椅 电视 LED屏,5,0,http://venue.huodongxing.com/venue/detail/570987714832
154,活动行-活动场地,南山区,简约书吧-中山公园店,陈琼燕,13823***391,DIY 体验 分享会/沙龙 会议/论坛 亲子,"1800元/天 起
室内展示区：正门入口场地 -面积50㎡-租金1800元/天 会议室： 二楼大会议室-面积50㎡-租金1500元/天 会议室：二楼小会议室-面积25㎡-租金1500元/天",125 平米起,50 人,中山公园,桌椅,8,0,http://venue.huodongxing.com/venue/detail/650987272468
155,活动行-活动场地,南山区,简约书吧-君尚店,陈琼燕,13823***391,聚会 DIY 体验 分享会/沙龙 亲子,"2800元/天 起
室内展示区：展示区-面积80㎡-租金3600元/天 多功能区：开放式多功能区-面积60㎡-租金2800元/天 艺术教室门口休息区-面积40㎡-少儿区-面积20㎡-一楼休闲区-面积40㎡-租金均为2880",1500 平米起,200 人,君尚百货商场,投影设备 茶歇 桌椅,9,0,http://venue.huodongxing.com/venue/detail/470987288328
156,活动行-活动场地,南山区,简约书吧-白鹭坡店,陈琼燕,13823***391,聚会 DIY 体验 分享会/沙龙 会议/论坛 亲子 读书会,"1200元/天 起
室外展示厅：门口长廊-面积135㎡-租金5000元/天 多功能区：开放式多功能区-面积30㎡-租金1200元/天",200 平米起,80 人,深圳湾白鹭坡公园,投影设备 茶歇 桌椅,9,0,http://venue.huodongxing.com/venue/detail/440987278235
157,活动行-活动场地,南山区,简约书吧-南头古城店,陈琼燕,13823***391,聚会 DIY 体验 分享会/沙龙 会议/论坛 读书会,"1800元/天 起
室内展示厅：83号大厅 面积50㎡ 租金1800元/天 会议室：83号小隔间 面积35㎡ 租金1500元/天 展示区：85号大厅（室内）+85号后花园（室外） 面积100㎡ 租金3600元/天",185 平米起,60 人,南头古城,投影设备 桌椅,9,0,http://venue.huodongxing.com/venue/detail/460987272365
158,活动行-活动场地,南山区,简约书吧-麒麟山庄店,陈琼燕,13823***391,聚会 DIY 体验 分享会/沙龙 发布会 亲子 读书会,"1500元/天 起
室外展示区总面积200㎡ 户外长廊一号场地 面积40㎡ 户外长廊二号场地 面积40㎡ 租金4000元/天 会议室 面积30㎡ 租金1500元/天",230 平米起,25 人,麒麟山庄,投影设备 茶歇 桌椅,12,0,http://venue.huodongxing.com/venue/detail/770987267681
159,活动行-活动场地,南山区,简约书吧-南山党群服务中心店,陈琼燕,13823***391,聚会 DIY 体验 发布会 展览 亲子 读书会,"1200元/天 起
展示区（室内+室外）：门口长廊-面积100㎡-门口吧台-面积60㎡-租金1200元/天 多功能区：少儿区-面积50㎡-开放式多功能区-面积40㎡-租金1600元/天",100 平米起,100 人,南山深圳湾科技生态园,投影设备 茶歇 桌椅,10,0,http://venue.huodongxing.com/venue/detail/120987282776
160,活动行-活动场地,南山区,中天世联空间,郭亚柯,13530***760,聚会 商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 路演 轰趴 亲子 读书会 年会 其他,"500元/天 起
创新创业类活动可免费举办。价格视活动情况而定。",120 平米起,100 人,特发信息科技大厦23楼,投影设备 银幕 音响 麦克风 WIFI 茶歇 停车场 黑白板 讲台 舞台 桌椅 电视,12,0,http://venue.huodongxing.com/venue/detail/520952002961
161,活动行-活动场地,南山区,E3沉浸式团建·年会·发布会·轰趴综合体,陈志丹,18617***897,聚会 商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 现场演出 展览 集市 赛事 路演 轰趴 亲子 年会,"29800元/天 起
此价格为一个时段内包整层价格，具体费用会根据活动形式、活动内容与时长进行报价",1000 平米起,350 人,跨界空间2楼,投影设备 音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 舞台灯 讲台 舞台 桌椅 LED屏,11,0,http://venue.huodongxing.com/venue/detail/340945760067
162,活动行-活动场地,南山区,湾区青年空间,陈翡,15814***115,商务活动 分享会/沙龙 发布会 课程 会议/论坛 路演,"3000元/天 起
公益型场地。根据活动性质与内容进行审核，可免费提供使用。",100 平米起,60 人,深圳湾科技生态园2栋A座一楼区青年空间,投影设备 音响 麦克风 讲台 LED屏,19,0,http://venue.huodongxing.com/venue/detail/800976191056
163,活动行-活动场地,南山区,深圳筑梦生态园众创空间,筑梦之星科技,18925***335,DIY 体验 分享会/沙龙 发布会 会议/论坛 路演 读书会,"3元/天 起
该场地免费使用，1、活动行优先2、对以下申请单位免费使用：泛科技类（5G与云计算、大数据、消费电子，甚至于人工智能、车联网创业沙龙、路演、创业大赛、创业教育培训等）企业或创业团队免费申请使用，使用前需缴纳500元家具设备保证金，会后原路退回。",200 平米起,60 人,粤海街道深圳湾科技生态园10栋B座7层,投影设备 WIFI 停车场 黑白板 桌椅,19,0,http://venue.huodongxing.com/venue/detail/290962824263
164,活动行-活动场地,南山区,简正企业大学共创培训中心,钟莉,14776***274,聚会 商务活动 团建 分享会/沙龙 课程 会议/论坛 读书会,"2000元/半天 起
优质企业、培训合作等价格可适当优惠，请电话详谈",100 平米起,100 人,侨城东路99号深南电路大厦4楼407,投影设备 银幕 音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 舞台灯 讲台 舞台 桌椅 电视,9,0,http://venue.huodongxing.com/venue/detail/130939044772
165,活动行-活动场地,南山区,2025创新空间,白晓生,15220***731,聚会 商务活动 团建 DIY 体验 分享会/沙龙 课程 会议/论坛 赛事 路演 轰趴 亲子 读书会 年会,"3000元/天 起
整个咖啡厅(500平)：10000元/天，6000元/半天。多功能厅：3000元/天，1600/半天。阁楼：2000元/天，1000/半天。户外2000元/天，1000/半天。小会议室：600/天，300/半天。茶室低消280",500 平米起,120 人,珠光创新科技园2025创新空间,投影设备 银幕 音响 麦克风 WIFI 茶歇 停车场 黑白板 舞台灯 讲台 舞台 桌椅,46,0,http://venue.huodongxing.com/venue/detail/650945021332
166,活动行-活动场地,南山区,正鹄会综合武道场馆/弓道剑道合气道,胡先生,13590***543,聚会 分享会/沙龙 课程 展览 赛事 读书会 其他,"2000元/天 起
以上为平日价格，武道团体使用可按时段另行详谈，周末价格会上浮",300 平米起,50 人,南山大道海润工业园西区二楼正鹄会,投影设备 WIFI 停车场 黑白板 桌椅,13,0,http://venue.huodongxing.com/venue/detail/520932550335
167,活动行-活动场地,南山区,idg亚洲体育产业育成中心,曾馨,15625***173,商务活动 分享会/沙龙 发布会 会议/论坛 路演 年会,"7000元/半天 起
一楼活动场地： 半天7500元，一天15000元，包含一楼活动场地及设备使用。 海景路演厅： 1500/小时，6000/半天，包含设备使用。 二楼会议室： 400元/小时（1500元/半天），包含瓶装水一支/人，投影机使用。另外提供热饮意式咖啡：20元/杯。 商务会议室： 500元/小时（5000元/半天），包含瓶装水一支/人，投影机使用。",400 平米起,180 人,海天一路软件产业基地4a栋103-104,投影设备 银幕 音响 麦克风 WIFI 茶歇 舞台灯 讲台 舞台 桌椅 LED屏,45,2,http://venue.huodongxing.com/venue/detail/980925321095
168,活动行-活动场地,南山区,DTTOP多功能会议室（小）,郑川,13714***935/13342943173（微信同号）,商务活动 分享会/沙龙 发布会 课程 会议/论坛 现场演出 路演 轰趴 读书会 其他,"2500元/天 起
签订长期协议价格更低",70 平米起,50 人,DT未来科技体验中心,投影设备 银幕 音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 讲台 桌椅,61,0,http://venue.huodongxing.com/venue/detail/410925148208
169,活动行-活动场地,南山区,DTTOP多功能会议室（大）,郑川,13714***935/13342943173（微信同号）,商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 现场演出 路演 读书会 年会 其他,"6000元/天 起
签订长期协议价格更低",150 平米起,120 人,DT未来科技体验中心,投影设备 银幕 音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 舞台灯 讲台 舞台 桌椅 LED屏,74,2,http://venue.huodongxing.com/venue/detail/510925138537
170,活动行-活动场地,南山区,深圳湾科技生态园8栋DT未来科技体验中心一楼中庭,郑川,13714***935/13342943173（微信同号）,发布会 现场演出 展览 集市 其他,"10000元/天 起
可面谈",300 平米起,200 人,DT未来科技体验中心,音响 餐饮 停车场 舞台 桌椅,42,1,http://venue.huodongxing.com/venue/detail/320925138094
171,活动行-活动场地,南山区,拉萨产业交流(深圳南山)中心,拉萨产业交流(深圳南山)中心,13686***601,商务活动 分享会/沙龙 发布会 会议/论坛 路演 读书会 其他,"3200元/天 起
价格面议！优质活动可资源互换 联系电话：13686406601 雷先生",207 平米起,140 人,拉萨产业交流(深圳南山)中心,音响 麦克风 WIFI 停车场 桌椅 电视 LED屏,44,1,http://venue.huodongxing.com/venue/detail/190917194675
172,活动行-活动场地,南山区,华商国际路演厅,喻丽霞,13510***321,商务活动 分享会/沙龙 发布会 课程 会议/论坛 路演 读书会 其他,3000元/次 起,300 平米起,300 人,侨香路智慧广场B1座13楼,音响 麦克风 WIFI 停车场 黑白板 舞台灯 讲台 舞台 桌椅 LED屏,33,0,http://venue.huodongxing.com/venue/detail/590910430568
173,活动行-活动场地,南山区,品阅@共享空间,ANDY,15361***257,聚会 分享会/沙龙 轰趴 读书会 其他,200元/小时 起,30 平米起,20 人,学府花园,投影设备 银幕 音响 WIFI 停车场,72,1,http://venue.huodongxing.com/venue/detail/940857013335
174,活动行-活动场地,南山区,ATLAS寰图办公空间·深圳航天科技广场,刘蔚青,15016***261,聚会 商务活动 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 轰趴 读书会 年会,270元/起 起,300 平米起,100 人,海德三道（深圳湾段）166号航天科技广场4，7-12楼,投影设备 音响 麦克风 WIFI 茶歇 黑白板 桌椅 电视 LED屏,82,4,http://venue.huodongxing.com/venue/detail/600876880011
175,活动行-活动场地,南山区,乐火南海足球公园,陈俊鸿,16625***928,聚会 团建 分享会/沙龙 发布会 现场演出 集市 赛事 轰趴 亲子 其他,"1100元/小时 起
另可按5600㎡用场，费用为2000元/小时",2800 平米起,500 人,深圳市南山区南海足球公园,WIFI 停车场 黑白板 桌椅,14,1,http://venue.huodongxing.com/venue/detail/720872092309
176,活动行-活动场地,南山区,南山科技园大型会议室/教室,格局商学,13660***245,分享会/沙龙 发布会 课程 会议/论坛 路演,"4990元/半天 起
4990元/半天；8990元/天",220 平米起,120 人,中国储能大厦33C,银幕 音响 麦克风 WIFI 茶歇 停车场 黑白板 讲台 桌椅 LED屏,43,1,http://venue.huodongxing.com/venue/detail/950870871914
177,活动行-活动场地,南山区,可可豆生活美学体验馆,可可豆生活美学体验馆,0755-***13805,DIY 体验 分享会/沙龙 课程 亲子,"5000元/天 起
1600元/6小时：包含音箱一对、无线麦克风四支、红外触控会议系统一套、桌凳按需提供 2800元/12小时：包含音箱一对、无线麦克风四支、红外触控会议系统一套、桌凳按需提供 附加服务费用：活动策划费1000~3000元/场（根据活动规模进行浮动）；茶水费：150元/壶",75 平米起,25 人,平山一路世外桃源创意园B栋402,音响 WIFI 茶歇 桌椅 电视 LED屏,16,0,http://venue.huodongxing.com/venue/detail/460868703208
178,活动行-活动场地,南山区,格林欧洲艺术会客厅,林绍骅,17665***059,聚会 商务活动 DIY 体验 分享会/沙龙 发布会 会议/论坛 现场演出 展览 轰趴 亲子 读书会 年会 其他,"3500元/4h 起
工作日下午场4小时3500 工作日晚上及周末全天4小时5000",200 平米起,200 人,南山阳光文体中心2楼格林欧洲艺术会客厅,投影设备 银幕 音响 麦克风 WIFI 茶歇 餐饮 停车场 讲台 舞台 桌椅,110,3,http://venue.huodongxing.com/venue/detail/400866092561
179,活动行-活动场地,南山区,深圳青蓝咨询服务有限公司,黄红,15112***292,课程,"1000元/天 起
价格详情可面谈",100 平米起,50 人,高新南一道6号TCL大厦B座309,,49,0,http://venue.huodongxing.com/venue/detail/320864634823
180,活动行-活动场地,南山区,联合工社多功能路演中心,联合工社,13684***310,商务活动 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 路演 读书会 其他,3980元/半天 起,200 平米起,150 人,南山区桃源街道丽山路65号新视艺创客公园B座三楼联合工社,投影设备 音响 麦克风 WIFI 停车场 黑白板 讲台 桌椅 电视 LED屏,111,1,http://venue.huodongxing.com/venue/detail/320859602184
181,活动行-活动场地,南山区,万象空间|深圳云直播品牌发布中心,联合工社,13684***310,聚会 商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 现场演出 展览 集市 赛事 路演 轰趴 亲子 读书会 年会 其他,22800元/半天 起,1000 平米起,300 人,桃源街道丽山路65号新视艺创客公园1F万象空间NewLab,银幕 音响 麦克风 WIFI 停车场 黑白板 舞台灯 讲台 舞台 桌椅 电视 LED屏,92,1,http://venue.huodongxing.com/venue/detail/780859619669
182,活动行-活动场地,南山区,二元桥（前海深港设计创意产业园）,夏雪,19962***312,商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 现场演出 展览 集市 年会 其他,"12000元/天 起
多功能厅： 位置：南区一层；大小：809平方米；定价12万一天，7.1万半天。 创意市集： 位置：南区一层；大小：14万一天，8万半天。",809 平米起,2000 人,二元桥深港设计创意产业园,WIFI 茶歇 停车场 桌椅 LED屏,79,4,http://venue.huodongxing.com/venue/detail/250857657036
183,活动行-活动场地,南山区,西枝叁舍咖啡文创馆,刘亭希,18665***527,聚会 商务活动 团建 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 现场演出 展览 集市 赛事 路演 轰趴 亲子 读书会 年会 其他,"3000元/天 起
价格仅供参考，实际价格由协商后确定",160 平米起,40 人,西丽街道TCL国际E城F2栋101,投影设备 音响 麦克风 WIFI 茶歇 餐饮 停车场 桌椅,78,1,http://venue.huodongxing.com/venue/detail/250853657528
184,活动行-活动场地,南山区,日子里,卢俊廷,13751***937,聚会 DIY 体验 分享会/沙龙 课程 会议/论坛 展览 集市,"500元/天 起
价格可面议",180 平米起,50 人,半岛城邦一期对面,餐饮 停车场 电视,79,0,http://venue.huodongxing.com/venue/detail/720851157212
185,活动行-活动场地,南山区,筑梦之星-南山锦会空中花园活动厅,筑梦之星,15920***755,商务活动 DIY 体验 分享会/沙龙 发布会 课程 会议/论坛 现场演出 展览 赛事 路演 读书会,"2400元/半天 起
优质活动可免费使用，欢迎合作！",80 平米起,80 人,深圳市高新科技园高新南四道13号丽雅查尔顿广场6层、7层,投影设备 音响 麦克风 WIFI 黑白板 讲台 桌椅,88,2,http://venue.huodongxing.com/venue/detail/390849474916
186,活动行-活动场地,南山区,神鲸空间·路演大厅,Serena.Chen,17512***622,聚会 商务活动 分享会/沙龙 发布会 会议/论坛 路演,"6000元/天 起
1000元/小时，全天包场75折，半天包场85折（周末与工作日同价，此价格在周六/周日不含空调加时费，周六/周日须额外收费350元/小时）",150 平米起,120 人,科苑南路3331号阿里中心T2栋12楼,投影设备 音响 麦克风 WIFI 餐饮 停车场 讲台 桌椅 电视 LED屏,149,1,http://venue.huodongxing.com/venue/detail/200843223341
187,活动行-活动场地,南山区,深圳华侨城创意文化园,深圳华侨城创意文化园,0755-***35670,分享会/沙龙 发布会 会议/论坛,50000元/天 起,3000 平米起,2000 人,广东省深圳市南山区白石路东8号,投影设备 银幕 音响 麦克风 WIFI 茶歇 餐饮 停车场 黑白板 舞台灯 讲台 舞台 桌椅 电视 LED屏,852,27,http://venue.huodongxing.com/venue/detail/140699053313
188,活动行-活动场地,南山区,深圳华中科技大学产学研大楼,陈丹,13266***815,商务活动 分享会/沙龙 课程,5000元/天 起,650 平米起,300 人,广东省深圳市南山区粤兴三道9号,投影设备 音响 麦克风 WIFI 黑白板 桌椅,672,36,http://venue.huodongxing.com/venue/detail/320699962626
189,活动行-活动场地,南山区,深圳联才工坊,潘旻,13928***832,分享会/沙龙 发布会 课程,"5000元/天 起
2000元半天（上午/下午/晚上）",400 平米起,120 人,广东省深圳市南山区深圳湾创业投资大厦38楼,投影设备 音响 麦克风 WIFI 停车场 黑白板 桌椅 电视,1117,24,http://venue.huodongxing.com/venue/detail/960695195657
190,活动行-活动场地,南山区,京东智能奶茶馆,京东jd+智能奶茶馆,027-3***5555,分享会/沙龙 发布会,8000元/天 起,800 平米起,300 人,深圳市南山区科园路1003号软件产业基地4栋C座,投影设备 银幕 音响 麦克风 WIFI 茶歇 餐饮 桌椅,761,33,http://venue.huodongxing.com/venue/detail/960699776527
191,活动行-活动场地,南山区,思微SimplyWork2.0,思微SimplyWork,0755-***79499,分享会/沙龙 发布会 课程,6000元/天 起,150 平米起,150 人,深圳市南山区科发路1号富利臻大厦3F,投影设备 银幕 音响 麦克风 WIFI 茶歇 黑白板 桌椅,966,32,http://venue.huodongxing.com/venue/detail/800691371282
192,活动行-活动场地,南山区,07酒吧,07酒吧,0755-***00707,聚会 商务活动,25000元/天 起,400 平米起,230 人,深圳市南山区白石路东欢乐海岸13A栋,投影设备 音响 麦克风 WIFI 茶歇 餐饮 舞台灯 舞台 桌椅,685,45,http://venue.huodongxing.com/venue/detail/390700469272
193,活动行-活动场地,南山区,深圳OCT当代艺术中心（OCAT）,OCAT,0755-***15007,分享会/沙龙 发布会,5000元/天 起,100 平米起,100 人,深圳市南山区华侨城创意文化园,投影设备 音响 麦克风 WIFI 茶歇 餐饮,760,47,http://venue.huodongxing.com/venue/detail/370700489752
194,活动行-活动场地,南山区,KiwiHouse,KiwiHouse,0755-***38928,聚会 团建 分享会/沙龙,60元/人 起,100 平米起,100 人,深圳市南山区侨香路6076号(侨香路智慧广场商业中心负一层B1),投影设备 音响 麦克风 WIFI 茶歇 餐饮 黑白板 桌椅,867,39,http://venue.huodongxing.com/venue/detail/750700469273
195,活动行-活动场地,南山区,深圳华夏艺术中心,王女士,13760***464,发布会 会议/论坛 现场演出,55000元/天 起,2406 平米起,1000 人,广东省深圳市南山区华侨城光侨街一号,投影设备 音响 麦克风 WIFI 舞台灯 舞台 桌椅 LED屏,712,41,http://venue.huodongxing.com/venue/detail/700699962649
196,活动行-活动场地,南山区,Teamaker创茶空间,Teamaker创茶空间,15019***553,分享会/沙龙 发布会 课程,2000元/天 起,84 平米起,60 人,深圳市南山区学府路软件产业基地5栋B座01层52-53号商铺,投影设备 WIFI 茶歇 餐饮 黑白板 桌椅,1109,30,http://venue.huodongxing.com/venue/detail/630698782234
